,lat,lng
0,51.56022429999999,0.1477518
1,51.550982,0.1613165
2,51.55137260000001,0.1539179
3,51.5545121,0.118162
4,51.55386799999999,0.1491179
5,51.538857,0.126679
6,51.5833245,0.1680926
7,51.542454,0.147854
8,51.574439,0.184531
9,51.5724159,0.191415
10,51.5606607,0.0809063
11,51.57161869999999,0.1357505
12,51.5529918,0.073664
13,51.5314272,0.0556953
14,51.5541937,0.0571578
15,51.5904302,0.0820461
16,51.56176,0.12424
17,51.5628277,0.1097485
18,51.5416064,0.1144421
19,51.56653619999999,0.108877
20,51.597057,-0.1103055
21,51.6414478,-0.162859
22,51.6100246,-0.1100225
23,51.62785479999999,-0.1744365
24,51.606924,-0.123632
25,51.5908129,-0.103498
26,51.60728959999999,-0.1240166
27,51.6330023,-0.1302508
28,51.5594544,-0.1161101
29,51.625335,-0.06213
30,51.5975202,-0.1100108
31,51.5671609,-0.1081184
32,51.59066499999999,-0.1028194
33,51.564352,-0.104811
34,51.5983081,-0.0939995
35,51.6069803,-0.06824369999999999
36,51.6232118,-0.06138470000000001
37,51.6318534,-0.1425178
38,51.6491875,-0.1701622
39,51.6015046,-0.1117895
40,51.4561797,0.1499194
41,51.4475809,0.1181999
42,51.463097,0.108276
43,51.456951,0.143228
44,51.471819,0.1756122
45,51.424613,0.1065034
46,51.4627688,0.1049468
47,51.4464973,0.2314539
48,51.4806853,0.0697778
49,51.4643844,0.0999516
50,51.4864785,0.1709673
51,51.485966,0.0806751
52,51.4510091,0.0505735
53,51.452166,0.177618
54,51.4659311,-0.0192559
55,51.5314272,0.0556953
56,51.4730419,-0.0145766
57,51.4998049,0.0633238
58,51.43463690000001,0.0647727
59,51.4881402,0.0897013
60,51.5530073,-0.2858291
61,51.56222710000001,-0.2810773
62,51.5567151,-0.2836907
63,51.55293289999999,-0.2953157
64,51.57131099999999,-0.294591
65,51.5657173,-0.2785695
66,51.5518539,-0.2833466
67,51.553411,-0.2939818
68,51.5599589,-0.2794931
69,51.564833,-0.263048
70,51.5624575,-0.3057204
71,51.54569249999999,-0.2730016000000001
72,51.5603485,-0.2794967
73,51.535075,-0.204742
74,51.60203449999999,-0.2646032
75,51.553804,-0.291906
76,51.5418506,-0.2979334
77,51.5723576,-0.29481
78,51.56558460000001,-0.2772413
79,51.583229,-0.3319053
80,51.4022152,0.0160116
81,51.4279427,0.0132347
82,51.4237939,-0.0032868
83,51.40656490000001,0.0158423
84,51.4060901,0.0152405
85,51.427233,-0.0301427
86,51.4094,0.0107503
87,51.405887,0.0137012
88,51.43396680000001,0.009240199999999999
89,51.4447203,-0.023311
90,51.4481137,0.0135606
91,51.4071209,0.0116277
92,51.4659311,-0.0192559
93,51.4338942,-0.0173377
94,51.4118742,0.0144169
95,51.40585100000001,0.03443600000000001
96,51.4510091,0.0505735
97,51.439502,-0.0548638
98,51.4040776,0.0180194
99,51.4475206,-0.0419221
100,51.531363,-0.120738
101,51.52768,-0.1184807
102,51.5174966,-0.121865
103,51.52448589999999,-0.127927
104,51.5256283,-0.1102076
105,51.5118368,-0.1287987
106,51.52946799999999,-0.116019
107,51.5358723,-0.1039758
108,51.51262149999999,-0.1343593
109,51.5423705,-0.1466665
110,51.521854,-0.15723
111,51.5281631,-0.0778258
112,51.5125095,-0.1386636
113,51.5171546,-0.1222014
114,51.5120028,-0.1311901
115,51.54768439999999,-0.106152
116,51.5204368,-0.1344817
117,51.5401403,-0.09686439999999999
118,51.5594544,-0.1161101
119,51.5376656,-0.1003491
120,51.37500199999999,-0.093645
121,51.3721918,-0.1005812
122,51.37952139999999,-0.0879298
123,51.3722433,-0.1005701
124,51.37110240000001,-0.1004521
125,51.36698500000001,-0.101857
126,51.364543,-0.0987224
127,51.37354699999999,-0.103533
128,51.382502,-0.115244
129,51.3664988,-0.0991823
130,51.3733189,-0.1034816
131,51.3805541,-0.0873902
132,51.3734425,-0.1019714
133,51.38210369999999,-0.06961869999999999
134,51.3747639,-0.0965877
135,51.3647624,-0.0988004
136,51.38341459999999,-0.1081112
137,51.3560521,-0.0975858
138,51.3717556,-0.1094355
139,51.3670378,-0.0992015
140,51.5102889,-0.3226494
141,51.5126996,-0.3071672
142,51.5139723,-0.3004325
143,51.5109763,-0.3195849
144,51.4977442,-0.3058882
145,51.51060769999999,-0.30539
146,51.5131604,-0.3065402
147,51.51229379999999,-0.3044284
148,51.5225924,-0.3401223
149,51.4988055,-0.3057843
150,51.5530073,-0.2858291
151,51.4885806,-0.2225085
152,51.51135559999999,-0.3160099
153,51.5032897,-0.279763
154,51.513603,-0.298768
155,51.5199154,-0.2260455
156,51.55293289999999,-0.2953157
157,51.52757399999999,-0.3518991
158,51.5157284,-0.3019788
159,51.5126025,-0.3058761
160,51.6521594,-0.084935
161,51.66396899999999,-0.081282
162,51.6694044,-0.0413896
163,51.6638341,-0.0822729
164,51.6565622,-0.0472046
165,51.6321855,-0.0548983
166,51.670507,-0.040638
167,51.6525928,-0.08082149999999999
168,51.6387486,-0.0481128
169,51.625335,-0.06213
170,51.65119199999999,-0.0595248
171,51.64765509999999,-0.0346901
172,51.6232118,-0.06138470000000001
